target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,Pass_TD_adj,Rush_Rushing_Succ%_adj,got_paid,payment_year
FielJu00,Justin Fields,GrosRe00,Rex Grossman,comp,,13.0,4,2,2005,2003,272.82684090437664,4.676612903225806,1.1356807511737106,,False,
FielJu00,Justin Fields,GrosRe00,Rex Grossman,comp,,13.0,4,3,2006,2003,3356.136681396701,5.403317143421906,25.935449839299302,22.789230318711013,False,
FielJu00,Justin Fields,TrubMi00,Mitchell Trubisky,comp,43.0,,4,0,2017,2017,2487.444436599084,5.121254417936823,7.322295052118896,43.52242489211385,False,
FielJu00,Justin Fields,TrubMi00,Mitchell Trubisky,comp,43.0,,4,1,2018,2017,3703.2677768652993,6.669539805450686,24.940963664729672,64.54912640864254,False,
FielJu00,Justin Fields,TrubMi00,Mitchell Trubisky,comp,43.0,,4,2,2019,2017,3376.025442089123,5.090591276607446,17.551824063258167,47.31153744566024,False,
FielJu00,Justin Fields,TrubMi00,Mitchell Trubisky,comp,43.0,,4,3,2020,2017,2274.2651713440387,6.0480856319473055,16.41281107019305,67.61478114991735,False,
FielJu00,Justin Fields,JoneMa05,Mac Jones,comp,18.0,,4,0,2021,2021,3961.7019020069,6.257311822066398,22.422983101964803,54.73762821777826,False,
FielJu00,Justin Fields,JoneMa05,Mac Jones,comp,18.0,,4,1,2022,2021,3115.620989961302,5.381392526174791,14.178304651521492,35.040298645479815,False,
FielJu00,Justin Fields,JoneMa05,Mac Jones,comp,18.0,,4,2,2023,2021,2221.926687051992,4.508962186937306,10.063277281485384,58.56942311985662,False,
FielJu00,Justin Fields,JoneMa05,Mac Jones,comp,18.0,,4,3,2024,2021,1764.0,4.97,8.0,50.0,False,
FielJu00,Justin Fields,JoneDa05,Daniel Jones,comp,,17.0,4,0,2019,2019,3350.687514724299,5.434004180188107,24.77904573636447,72.04747825629083,True,2023.0
FielJu00,Justin Fields,JoneDa05,Daniel Jones,comp,,17.0,4,1,2020,2019,3402.3006963306816,4.95943021819679,11.283807610757725,47.41539684412443,True,2023.0
FielJu00,Justin Fields,JoneDa05,Daniel Jones,comp,,17.0,4,2,2021,2019,2747.989665361529,5.653712610934591,10.192265046347638,50.655854794272805,True,2023.0
FielJu00,Justin Fields,JoneDa05,Daniel Jones,comp,,17.0,4,3,2022,2019,3933.9867485377777,5.913507831934611,15.191040698058742,61.01134352389427,True,2023.0
FielJu00,Justin Fields,BradSa00,Sam Bradford,comp,,4.0,4,0,2010,2010,3713.6803157792738,4.865388881109089,19.737516402242647,37.36526634414908,False,
FielJu00,Justin Fields,BradSa00,Sam Bradford,comp,,4.0,4,1,2011,2010,2268.667710834281,4.609095813069485,6.534119988626667,41.26271997810869,False,
FielJu00,Justin Fields,BradSa00,Sam Bradford,comp,,4.0,4,2,2012,2010,3952.5135023604903,5.777810381858247,22.713882286494265,40.51744606441259,False,
FielJu00,Justin Fields,BradSa00,Sam Bradford,comp,,4.0,4,3,2013,2010,1769.931567414443,6.236351742567642,15.04029732130335,23.90307286359436,False,
FielJu00,Justin Fields,BollKy00,Kyle Boller,comp,2.0,,4,0,2003,2003,1400.4454506643608,3.9133446041938966,8.064950365988178,33.85302669763655,False,
FielJu00,Justin Fields,BollKy00,Kyle Boller,comp,2.0,,4,1,2004,2003,2902.8596618597003,4.332217653897411,14.870038077698414,59.02317519592955,False,
FielJu00,Justin Fields,BollKy00,Kyle Boller,comp,2.0,,4,2,2005,2003,1964.5639316087352,4.385623655913977,12.492488262910816,60.58850533330563,False,
FielJu00,Justin Fields,BollKy00,Kyle Boller,comp,2.0,,4,3,2006,2003,545.1752543489476,8.566487448112273,5.638141269412892,30.97697773860719,False,
FielJu00,Justin Fields,HarrJo00,Joey Harrington,comp,14.0,14.0,4,0,2002,2002,2441.257911361047,4.161995956834942,13.92652071812741,21.234732508438544,False,
FielJu00,Justin Fields,HarrJo00,Joey Harrington,comp,14.0,14.0,4,1,2003,2002,3141.997887042734,4.028136045916917,19.58630803168557,48.38222270520588,False,
FielJu00,Justin Fields,HarrJo00,Joey Harrington,comp,14.0,14.0,4,2,2004,2002,3403.571262922836,5.342374174157143,21.73313257509768,44.51627430439987,False,
FielJu00,Justin Fields,HarrJo00,Joey Harrington,comp,14.0,14.0,4,3,2005,2002,2213.162906332414,4.655827956989247,13.628169014084529,40.670904729483325,False,
